t,x,y,z
35.500000,-nan,-nan,-nan
35.600000,-nan,-nan,-nan
35.700000,-nan,-nan,-nan
35.800000,-nan,-nan,-nan
35.900000,-nan,-nan,-nan
36.000000,-nan,-nan,-nan
36.100000,-nan,-nan,-nan
36.200000,-nan,-nan,-nan
36.300000,-nan,-nan,-nan
36.400000,-nan,-nan,-nan
36.500000,-nan,-nan,-nan
36.600000,-nan,-nan,-nan
36.700000,-nan,-nan,-nan
36.800000,-nan,-nan,-nan
36.900000,-nan,-nan,-nan
37.000000,-nan,-nan,-nan
37.100000,-nan,-nan,-nan
37.200000,-nan,-nan,-nan
37.300000,-nan,-nan,-nan
37.400000,-nan,-nan,-nan
37.500000,-nan,-nan,-nan
37.600000,-nan,-nan,-nan
37.700000,-nan,-nan,-nan
37.800000,-nan,-nan,-nan
37.900000,-nan,-nan,-nan
38.000000,-nan,-nan,-nan
38.100000,-nan,-nan,-nan
38.200000,-nan,-nan,-nan
38.300000,-nan,-nan,-nan
38.400000,-nan,-nan,-nan
38.500000,-nan,-nan,-nan
38.600000,-nan,-nan,-nan
38.700000,-nan,-nan,-nan
38.800000,-nan,-nan,-nan
38.900000,-nan,-nan,-nan
39.000000,-nan,-nan,-nan
39.100000,-nan,-nan,-nan
39.200000,-nan,-nan,-nan
39.300000,-nan,-nan,-nan
39.400000,-nan,-nan,-nan
39.500000,-nan,-nan,-nan
39.600000,-nan,-nan,-nan
39.700000,-nan,-nan,-nan
39.800000,-nan,-nan,-nan
39.900000,-nan,-nan,-nan
40.000000,-nan,-nan,-nan
40.100000,-nan,-nan,-nan
40.200000,-nan,-nan,-nan
40.300000,-nan,-nan,-nan
40.400000,-nan,-nan,-nan
40.500000,-nan,-nan,-nan
40.600000,-nan,-nan,-nan
40.700000,-nan,-nan,-nan
40.800000,-nan,-nan,-nan
40.900000,-nan,-nan,-nan
41.000000,-nan,-nan,-nan
41.100000,-nan,-nan,-nan
41.200000,-nan,-nan,-nan
41.300000,-nan,-nan,-nan
41.400000,-nan,-nan,-nan
41.500000,-nan,-nan,-nan
41.600000,-nan,-nan,-nan
41.700000,-nan,-nan,-nan
41.800000,-nan,-nan,-nan
41.900000,-nan,-nan,-nan
42.000000,-nan,-nan,-nan
42.100000,-nan,-nan,-nan
42.200000,-nan,-nan,-nan
42.300000,-nan,-nan,-nan
42.400000,-nan,-nan,-nan
42.500000,-nan,-nan,-nan
42.600000,-nan,-nan,-nan
42.700000,-nan,-nan,-nan
42.800000,-nan,-nan,-nan
42.900000,-nan,-nan,-nan
43.000000,-nan,-nan,-nan
43.100000,-nan,-nan,-nan
43.200000,-nan,-nan,-nan
43.300000,-nan,-nan,-nan
43.400000,-nan,-nan,-nan
43.500000,-nan,-nan,-nan
43.600000,-nan,-nan,-nan
43.700000,-nan,-nan,-nan
43.800000,-nan,-nan,-nan
43.900000,-nan,-nan,-nan
44.000000,-nan,-nan,-nan
44.100000,-nan,-nan,-nan
44.200000,-nan,-nan,-nan
44.300000,-nan,-nan,-nan
44.400000,-nan,-nan,-nan
44.500000,-nan,-nan,-nan
44.600000,-nan,-nan,-nan
44.700000,-nan,-nan,-nan
44.800000,-nan,-nan,-nan
44.900000,-nan,-nan,-nan
45.000000,-nan,-nan,-nan
45.100000,-nan,-nan,-nan
45.200000,-nan,-nan,-nan
45.300000,-nan,-nan,-nan
45.400000,-nan,-nan,-nan
45.500000,-nan,-nan,-nan
45.600000,-nan,-nan,-nan
45.700000,-nan,-nan,-nan
45.800000,-nan,-nan,-nan
45.900000,-nan,-nan,-nan
46.000000,-nan,-nan,-nan
46.100000,-nan,-nan,-nan
46.200000,-nan,-nan,-nan
46.300000,-nan,-nan,-nan
46.400000,-nan,-nan,-nan
46.500000,-nan,-nan,-nan
46.600000,-nan,-nan,-nan
46.700000,-nan,-nan,-nan
46.800000,-nan,-nan,-nan
46.900000,-nan,-nan,-nan
47.000000,-nan,-nan,-nan
47.100000,-nan,-nan,-nan
47.200000,-nan,-nan,-nan
47.300000,-nan,-nan,-nan
47.400000,-nan,-nan,-nan
47.500000,-nan,-nan,-nan
47.600000,-nan,-nan,-nan
47.700000,-nan,-nan,-nan
47.800000,-nan,-nan,-nan
47.900000,-nan,-nan,-nan
48.000000,-nan,-nan,-nan
48.100000,-nan,-nan,-nan
48.200000,-nan,-nan,-nan
48.300000,-nan,-nan,-nan
48.400000,-nan,-nan,-nan
48.500000,-nan,-nan,-nan
48.600000,-nan,-nan,-nan
48.700000,-nan,-nan,-nan
48.800000,-nan,-nan,-nan
48.900000,-nan,-nan,-nan
49.000000,-nan,-nan,-nan
49.100000,-nan,-nan,-nan
49.200000,-nan,-nan,-nan
49.300000,-nan,-nan,-nan
49.400000,-nan,-nan,-nan
49.500000,-nan,-nan,-nan
49.600000,-nan,-nan,-nan
49.700000,-nan,-nan,-nan
49.800000,-nan,-nan,-nan
49.900000,-nan,-nan,-nan
50.000000,-nan,-nan,-nan
